매핑된_작물,꿀벌 연관 여부,원재료
미분류,미분류,냉동연육
미분류,미분류,전분
미분류,미분류,밀가루
미분류,미분류,정제염
미분류,미분류,소르빈산칼륨
미분류,미분류,글루코노-δ-락톤
미분류,미분류,l-글루타민산나트륨
미분류,미분류,설탕
미분류,미분류,파래김
미분류,미분류,찹쌀
미분류,미분류,참깨
미분류,미분류,콩기름(대두유)
미분류,미분류,천일염
미분류,미분류,연근
미분류,미분류,새우분말
미분류,미분류,귀리분말
미분류,미분류,다시마분말
미분류,미분류,우엉분말
미분류,미분류,표고버섯가루
미분류,미분류,정제수
미분류,미분류,타피오카전분
미분류,미분류,가시오갈피분말
미분류,미분류,알카리제
미분류,미분류,효소식품
미분류,미분류,치커리뿌리추출물
미분류,미분류,난소화성말토덱스트린(고시형)
미분류,미분류,분리대두단백
미분류,미분류,프락토올리고당
미분류,미분류,당류가공품
미분류,미분류,서류가공품
미분류,미분류,기타가공품
미분류,미분류,귀리식이섬유
미분류,미분류,혼합제제
미분류,미분류,이산화규소
미분류,미분류,곡류가공품
미분류,미분류,까나라
미분류,미분류,식염2
미분류,미분류,백태
미분류,미분류,팽화미
미분류,미분류,팽화찹쌀분말
미분류,미분류,복합조미식품
미분류,미분류,쌀
미분류,미분류,국
미분류,미분류,효모
미분류,미분류,아스파탐
미분류,미분류,아세설팜칼륨
미분류,미분류,돼지뼈엑기스
미분류,미분류,치킨엑기스1호
미분류,미분류,양파
미분류,미분류,백설탕
미분류,미분류,효모분말
미분류,미분류,양파분말
미분류,미분류,효모추출분말
미분류,미분류,마늘
미분류,미분류,대두기름
미분류,미분류,스테빌라이져xc-8444
미분류,미분류,흑후추가루
미분류,미분류,계피
미분류,미분류,황기
미분류,미분류,대추
미분류,미분류,생강
미분류,미분류,간장
미분류,미분류,돌게
미분류,미분류,코치닐추출색소
미분류,미분류,구연산삼나트륨
미분류,미분류,황산알루미늄칼륨
미분류,미분류,탄산나트륨
미분류,미분류,폴리글리세린축합리시놀레인산에스테르
미분류,미분류,d-토코페롤(혼합형)
레몬,꿀벌 수분 연관,레몬베이직오일
레몬,꿀벌 수분 연관,레몬오일
라임,꿀벌 수분 연관,라임오일
오렌지,꿀벌 수분 연관,오렌지오일
미분류,미분류,리나롤
미분류,미분류,합성착향료(α-terpineol)
미분류,미분류,시트랄
미분류,미분류,합성착향료(ethanol)
미분류,미분류,자당지방산에스테르
미분류,미분류,트리아세틴
미분류,미분류,주정
미분류,미분류,천연향료
망고,꿀벌 수분 연관,망고베이직오일
미분류,미분류,s-1
미분류,미분류,합성착향료(ethylmaltol)
미분류,미분류,매실식초
미분류,미분류,올리브고당
미분류,미분류,벌굴
바닐라,꿀벌 수분 연관,바닐라향베이스
미분류,미분류,j-1
미분류,미분류,벤조인레지노이드
미분류,미분류,gras.no.2133
미분류,미분류,프로필렌글리콜
미분류,미분류,밤향베이스
미분류,미분류,푸라네올
미분류,미분류,원재료미등록
미분류,미분류,소브산칼륨
미분류,미분류,메타중아황산칼륨
사과,꿀벌 수분 연관,사과열매
사과,꿀벌 수분 연관,사과
미분류,미분류,배
미분류,미분류,석류농축액
미분류,미분류,구연산
미분류,미분류,베리류색소
미분류,미분류,소스
라임,꿀벌 수분 연관,라임주스
미분류,미분류,조미액젓
미분류,미분류,l-글루탐산나트륨
미분류,미분류,5-리보뉴클레오티드이나트륨
미분류,미분류,타마린드검
미분류,미분류,우뭇가사리
미분류,미분류,대두
미분류,미분류,우유
미분류,미분류,전지분유
미분류,미분류,젖산균
미분류,미분류,입국
미분류,미분류,올리고당
미분류,미분류,사카린나트륨
미분류,미분류,정제효소제
미분류,미분류,김
미분류,미분류,옥수수오일
미분류,미분류,맛소금
참깨,꿀벌 수분 연관,참기름
미분류,미분류,아황산나트륨
미분류,미분류,액상과당
미분류,미분류,금귤
감귤,꿀벌 수분 연관,감귤
미분류,미분류,대추과육
미분류,미분류,대추엑기스
미분류,미분류,벌꿀
미분류,미분류,고과당
미분류,미분류,스트로베리색소
미분류,미분류,생강즙
미분류,미분류,합성향료(ethylmaltol)
미분류,미분류,합성향료
미분류,미분류,합성향료(ethyl2-methylbutyrate)
미분류,미분류,합성향료(methylanthranilate)
미분류,미분류,합성향료(ethylacetate)
미분류,미분류,합성향료(ethylbutyrate)
미분류,미분류,합성향료(ethylacetoacetate)
미분류,미분류,합성향료(ethylisobutyrate)
미분류,미분류,합성향료(cis-3-hexen-1-ol)
미분류,미분류,합성향료(ethylpropionate)
미분류,미분류,치자황zh
미분류,미분류,치즈향베이스dh-2272
미분류,미분류,팔미트산
미분류,미분류,미리스트산
미분류,미분류,라우린산
미분류,미분류,프로피온산
미분류,미분류,카프릭산
미분류,미분류,카프릴산
미분류,미분류,낙산
미분류,미분류,합성착향료(delta-decalactone)
미분류,미분류,합성착향료(delta-dodecalactone)
미분류,미분류,글리세린지방산에스테르
미분류,미분류,칡
미분류,미분류,베이스
미분류,미분류,글리세린
미분류,미분류,정제소금
미분류,미분류,타피오카전분향
미분류,미분류,산머루
미분류,미분류,호모
미분류,미분류,중아황산칼륨
미분류,미분류,옥수수
미분류,미분류,탄산수소나트륨
감귤,꿀벌 수분 연관,감귤향#3
미분류,미분류,한라봉향dj-3493/b
미분류,미분류,멥쌀
미분류,미분류,누룩
미분류,미분류,황칠나무추출물
미분류,미분류,한수구연산
미분류,미분류,액상카라멜
미분류,미분류,허브향
미분류,미분류,염화나트륨
미분류,미분류,계피추출액
미분류,미분류,홍삼농축액
미분류,미분류,구기자농축액
미분류,미분류,영지농축액
미분류,미분류,대추농축액
미분류,미분류,황정농축액
미분류,미분류,홍삼
미분류,미분류,베이직오일
미분류,미분류,홍삼향베이스
미분류,미분류,이스트엑기스분말티케이
미분류,미분류,덱스트린
미분류,미분류,효모추출물
미분류,미분류,에이취브이피-비
미분류,미분류,5'-리보뉴클레오티드이나트륨
미분류,미분류,글리신
미분류,미분류,후레바메이트
미분류,미분류,조림류
호두,꿀벌 수분 연관,호두
미분류,미분류,빵류
미분류,미분류,김치
미분류,미분류,육수
미분류,미분류,고춧가루
미분류,미분류,과.채가공품
미분류,미분류,천연향신료
미분류,미분류,멸치분말
미분류,미분류,과당
미분류,미분류,타우린
미분류,미분류,구연산(결정)
미분류,미분류,비타민c
미분류,미분류,이노시톨
미분류,미분류,카페인
미분류,미분류,dl-알라닌
미분류,미분류,니코틴산아미드
미분류,미분류,수크랄로스
미분류,미분류,비타민b12혼합제제분말
미분류,미분류,재제소금(재제조소금)
미분류,미분류,판토텐산칼슘
미분류,미분류,비타민b6염산염
미분류,미분류,비타민b2
미분류,미분류,l-카르니틴
미분류,미분류,은행잎추출물분말
미분류,미분류,배농축액
미분류,미분류,후르츠믹스향
망고,꿀벌 수분 연관,망고향
미분류,미분류,이산화탄소
미분류,미분류,베이킹파우더
미분류,미분류,식물성유지
미분류,미분류,새우
미분류,미분류,초피나무열매
미분류,미분류,액젓
미분류,미분류,백태분말
미분류,미분류,바나나맛분말
미분류,미분류,알파현미분말
미분류,미분류,히알루론산혼합제제
미분류,미분류,생선콜라겐
미분류,미분류,과일혼합분말
미분류,미분류,효소처리스테비아
미분류,미분류,아미노산혼합제제
미분류,미분류,건조효모
미분류,미분류,clostridiumbutyricumstrainmiyairi
미분류,미분류,대나무잎추출물
미분류,미분류,프락토올리고당(고시형)
미분류,미분류,여두분말
미분류,미분류,바나나향분말
미분류,미분류,포도당
미분류,미분류,비타민미네랄혼합제제
미분류,미분류,차전자피식이섬유(고시형)
미분류,미분류,치커리뿌리추출물분말
미분류,미분류,유산균혼합분말
미분류,미분류,혼합야채분말
미분류,미분류,들깨
미분류,미분류,물엿
미분류,미분류,고추씨
미분류,미분류,소금
미분류,미분류,식초
미분류,미분류,차가버섯균사
미분류,미분류,볶은결명자
미분류,미분류,건조불로초자실체
미분류,미분류,진흙버섯균사체
미분류,미분류,옥수수전분
미분류,미분류,가공소금
미분류,미분류,향신료조제품
미분류,미분류,아귀
미분류,미분류,바나나
미분류,미분류,양념육
미분류,미분류,소고기
미분류,미분류,대파
미분류,미분류,식육함유가공품
미분류,미분류,고추맛기름
미분류,미분류,사골농축액
미분류,미분류,파프리카추출색소
미분류,미분류,매실과육
미분류,미분류,청국장
미분류,미분류,올레오레진생강
미분류,미분류,올레오레진파프리카
미분류,미분류,#36006카다몬스텐다드
미분류,미분류,오일
미분류,미분류,육두구오일
미분류,미분류,올레오레진파슬리씨드
미분류,미분류,올레오레진셀러리
미분류,미분류,칠리익슨트렉트오일
미분류,미분류,겨자분말
미분류,미분류,생강가루
미분류,미분류,생강클래식
미분류,미분류,너트멕클래식
미분류,미분류,흰후추분말
미분류,미분류,소두구분말
미분류,미분류,함수포도당
미분류,미분류,육두구분말
커피,꿀벌 수분 연관,볶은커피원두
커피,꿀벌 수분 연관,커피추출액
커피,꿀벌 수분 연관,커피원두
커피,꿀벌 수분 연관,건조커피
미분류,미분류,감자전분
미분류,미분류,카레
미분류,미분류,유청분말
미분류,미분류,혼합탈지분유
미분류,미분류,구아검
미분류,미분류,분말셀룰로오스
미분류,미분류,향미유
미분류,미분류,카라멜색소
미분류,미분류,칼라만시원액
미분류,미분류,과채가공품
미분류,미분류,염화칼슘
미분류,미분류,호프펠렛
미분류,미분류,맥아
미분류,미분류,혼합간장
미분류,미분류,발효식초
미분류,미분류,고추엑기스
미분류,미분류,마늘농축액
레몬,꿀벌 수분 연관,레몬농축액
미분류,미분류,비타민b1혼합제제
미분류,미분류,매실농축액
미분류,미분류,생강농축액
미분류,미분류,파라옥시안식향산에틸
커피,꿀벌 수분 연관,커피분말
미분류,미분류,잣나무잎추출액
미분류,미분류,올레오레진투메릭
미분류,미분류,메이스오일
미분류,미분류,고수분말
미분류,미분류,마조람분말
미분류,미분류,캐러웨이분말
미분류,미분류,말토덱스트린
미분류,미분류,카다몬에멀전
미분류,미분류,기타과당
미분류,미분류,건어포
미분류,미분류,양파농축액
미분류,미분류,다시마엑기스
미분류,미분류,무농축액
커피,꿀벌 수분 연관,커피
미분류,미분류,향료
미분류,미분류,치자적색소
미분류,미분류,d-소비톨액
미분류,미분류,분말결정포도당
미분류,미분류,홍화황색소
미분류,미분류,침출차
미분류,미분류,콩나물
미분류,미분류,청양고추
미분류,미분류,후추가루
미분류,미분류,간마늘
미분류,미분류,기타조미료
미분류,미분류,황태엑기스
미분류,미분류,무
미분류,미분류,황태채
미분류,미분류,소갈비
미분류,미분류,당면
미분류,미분류,팽이버섯
미분류,미분류,불린당면
미분류,미분류,소사태
미분류,미분류,소양지
미분류,미분류,배추잎
미분류,미분류,귤나무열매껍질
체리,꿀벌 수분 연관,체리주스
미분류,미분류,흑설탕
미분류,미분류,알파옥수수전분
미분류,미분류,시즈닝
미분류,미분류,부스터메이트
미분류,미분류,잔탄검
미분류,미분류,지미베이스-np
미분류,미분류,계피가루
미분류,미분류,올레오레진캪시컴
미분류,미분류,흑미
미분류,미분류,율무
미분류,미분류,기장
미분류,미분류,조
미분류,미분류,현미
미분류,미분류,aspergillusoryzae
미분류,미분류,보리
미분류,미분류,수수
미분류,미분류,사탕수수가루
미분류,미분류,여주열매
미분류,미분류,노니주스
미분류,미분류,수박주스
사과,꿀벌 수분 연관,사과주스
미분류,미분류,당근주스
미분류,미분류,레드비트주스
미분류,미분류,과채주스
미분류,미분류,감초
미분류,미분류,마
미분류,미분류,죽염
미분류,미분류,오디분말
미분류,미분류,흑미찹쌀
미분류,미분류,검정콩
미분류,미분류,강낭콩
미분류,미분류,건대추
미분류,미분류,은행나무견과
미분류,미분류,호박씨앗
미분류,미분류,연꽃씨앗(심제외)
미분류,미분류,삼씨앗
호두,꿀벌 수분 연관,호두유
미분류,미분류,연꽃
미분류,미분류,연잎
미분류,미분류,식물혼합농축액
블루베리,꿀벌 수분 연관,블루베리농축분말
미분류,미분류,라즈베리농축분말
미분류,미분류,아로니아농축분말
미분류,미분류,식물혼합추출액
미분류,미분류,식물혼합추출물
미분류,미분류,쇠무릅뿌리
미분류,미분류,천궁뿌리줄기
미분류,미분류,참당귀뿌리
미분류,미분류,황기뿌리
미분류,미분류,지황뿌리
감귤,꿀벌 수분 연관,건조감귤껍질
미분류,미분류,가시오갈피줄기
미분류,미분류,겨우살이가지
미분류,미분류,건생강
미분류,미분류,잇꽃씨앗
미분류,미분류,건조박하잎
미분류,미분류,복령균핵
미분류,미분류,지황
미분류,미분류,서양산사자열매
미분류,미분류,사인씨앗
미분류,미분류,서양박하잎
미분류,미분류,칡뿌리
미분류,미분류,구절초
미분류,미분류,녹용
미분류,미분류,보스웰리아검레진
미분류,미분류,겨우살이
미분류,미분류,복분자
미분류,미분류,오미자열매
미분류,미분류,모과
미분류,미분류,두충
미분류,미분류,불로초자실체
미분류,미분류,사철쑥
미분류,미분류,건조캐모마일
미분류,미분류,곰솔잎
미분류,미분류,삽주뿌리줄기
미분류,미분류,작약뿌리
미분류,미분류,유함유가공품
미분류,미분류,건파슬리
미분류,미분류,중력분
미분류,미분류,탈지분유
미분류,미분류,가공연유
미분류,미분류,인스턴트이스트
미분류,미분류,유청
미분류,미분류,건조바질
미분류,미분류,혼합식용유
미분류,미분류,식물성크림
미분류,미분류,소시지
미분류,미분류,가공치즈
미분류,미분류,난백액
미분류,미분류,쌀가루
미분류,미분류,쇼트닝
미분류,미분류,전란액
미분류,미분류,혼합분유
미분류,미분류,버터
미분류,미분류,식품첨가물혼합제제
미분류,미분류,유동파라핀
미분류,미분류,기타식용유지
미분류,미분류,건생강분말
미분류,미분류,건마늘분말
미분류,미분류,양조간장
미분류,미분류,소스류
사과,꿀벌 수분 연관,사과농축액
미분류,미분류,갈색설탕
미분류,미분류,소주
미분류,미분류,흑후추
미분류,미분류,팥
미분류,미분류,과채가공품류
미분류,미분류,돼지고기
미분류,미분류,변성전분
미분류,미분류,천연향료(pepper
미분류,미분류,black)
미분류,미분류,폴리인산나트륨
미분류,미분류,시클로덱스트린
미분류,미분류,다시마추출액
미분류,미분류,사양벌꿀
미분류,미분류,고려엉겅퀴
카놀라,꿀벌 수분 연관,채종유(유채유또는카놀라유)
참깨,꿀벌 수분 연관,들기름
미분류,미분류,수산물가공품
미분류,미분류,마가린
미분류,미분류,옥수수기름(옥배유)
피망,꿀벌 수분 연관,청피망
미분류,미분류,사탕옥수수
피망,꿀벌 수분 연관,홍피망
미분류,미분류,당근
미분류,미분류,표고버섯
미분류,미분류,양배추
미분류,미분류,l-글루탐산나트륨제제
미분류,미분류,가공버터
미분류,미분류,과자
미분류,미분류,치즈
미분류,미분류,난황액
미분류,미분류,가공유크림
미분류,미분류,젤라틴
미분류,미분류,팽창제제
미분류,미분류,잼
미분류,미분류,음료베이스
미분류,미분류,박력분
블루베리,꿀벌 수분 연관,건조블루베리
카카오,꿀벌 수분 연관,코코아분말
미분류,미분류,당절임
호두,꿀벌 수분 연관,호두분태
카카오,꿀벌 수분 연관,초콜릿가공품
카카오,꿀벌 수분 연관,기타코코아가공품
카카오,꿀벌 수분 연관,초콜릿
카카오,꿀벌 수분 연관,화이트초콜릿
미분류,미분류,구연산(무수)
미분류,미분류,땅콩또는견과류가공품
미분류,미분류,두류가공품
미분류,미분류,쇠고기맛본다시
미분류,미분류,식용우지
미분류,미분류,식육추출가공품
미분류,미분류,자연치즈
미분류,미분류,된장
토마토,꿀벌 수분 연관,토마토페이스트
미분류,미분류,효모식품
미분류,미분류,절임식품
미분류,미분류,프레스햄
미분류,미분류,간장분말
미분류,미분류,와사비시즈닝
미분류,미분류,영양강화밀가루
미분류,미분류,건조효모제품
미분류,미분류,제삼인산칼슘
미분류,미분류,새우추출분말
미분류,미분류,젤란검
미분류,미분류,분말셀룰로스
미분류,미분류,멥쌀가루
미분류,미분류,마늘에센셜오일
미분류,미분류,스모크향
미분류,미분류,카레분말
미분류,미분류,태움용융소금
미분류,미분류,검정콩볶은가루
미분류,미분류,질경이껍질분말
미분류,미분류,자일리톨
레몬,꿀벌 수분 연관,레몬맛분말
미분류,미분류,캔디류
사과,꿀벌 수분 연관,dl-사과산
미분류,미분류,홍차분말
미분류,미분류,홍차향
미분류,미분류,연성치즈
미분류,미분류,베이킹파우더포뮬러
미분류,미분류,살균전란액
미분류,미분류,소맥분
레몬,꿀벌 수분 연관,레몬주스
미분류,미분류,전란
미분류,미분류,유화제
미분류,미분류,통팥앙금
미분류,미분류,식품첨가물
미분류,미분류,리큐르
블루베리,꿀벌 수분 연관,냉동블루베리
미분류,미분류,기타수산물가공품
미분류,미분류,상추
피망,꿀벌 수분 연관,피망
미분류,미분류,양상추
토마토,꿀벌 수분 연관,토마토열매
미분류,미분류,소고기엑기스
미분류,미분류,히코리스모크향
미분류,미분류,천연향료(mustard)
미분류,미분류,소고기엑기스분말
미분류,미분류,다진마늘
미분류,미분류,혼합장
미분류,미분류,배추
미분류,미분류,삶은고사리
미분류,미분류,건조참취
미분류,미분류,알가열제품
미분류,미분류,들깨가루
미분류,미분류,콩가루
미분류,미분류,마요네즈
미분류,미분류,고추장
미분류,미분류,젓갈
미분류,미분류,건목이버섯
미분류,미분류,목이버섯
미분류,미분류,건면
미분류,미분류,부추
미분류,미분류,갓
미분류,미분류,찹쌀풀
미분류,미분류,절임배추
미분류,미분류,볶은참깨
미분류,미분류,절임무
미분류,미분류,밀가루풀
미분류,미분류,들깻잎
미분류,미분류,파
미분류,미분류,절인고추
미분류,미분류,고춧잎
미분류,미분류,무말랭이
미분류,미분류,밤
미분류,미분류,건홍고추
미분류,미분류,절임열무
미분류,미분류,오이
미분류,미분류,절임총각무
미분류,미분류,전분가공품
미분류,미분류,올리고당가공품
미분류,미분류,딸기농축액
미분류,미분류,생선콜라겐펩타이드분말
미분류,미분류,펙틴
미분류,미분류,라즈베리과육
미분류,미분류,로커스트콩검
미분류,미분류,라즈베리농축과즙
블루베리,꿀벌 수분 연관,블루베리농축과즙
미분류,미분류,딸기농축과즙
미분류,미분류,결정과당
미분류,미분류,딸기향
블루베리,꿀벌 수분 연관,블루베리농축액
블루베리,꿀벌 수분 연관,블루베리향
포도,꿀벌 수분 연관,포도농축액
레몬,꿀벌 수분 연관,레몬농축과즙
포도,꿀벌 수분 연관,포도향
미분류,미분류,자두향
미분류,미분류,푸룬향
미분류,미분류,서양자두농축주스
미분류,미분류,서양자두농축액
미분류,미분류,자두농축액
미분류,미분류,바나나농축액
미분류,미분류,덩굴월귤
미분류,미분류,양배추추출액분말
미분류,미분류,덩굴월귤추출물분말
미분류,미분류,울금발효엑스q
미분류,미분류,매실농축과즙
사과,꿀벌 수분 연관,농축사과과즙
미분류,미분류,배주스농축액
미분류,미분류,복숭아농축액
블루베리,꿀벌 수분 연관,블루베리
미분류,미분류,치자황색소
사과,꿀벌 수분 연관,사과퓌레
미분류,미분류,제이인산칼슘
미분류,미분류,스테비올배당체
미분류,미분류,타라검
미분류,미분류,아미드펙틴
키위,꿀벌 수분 연관,키위농축액
키위,꿀벌 수분 연관,키위퓌레
미분류,미분류,홍국색소
미분류,미분류,딸기
미분류,미분류,복숭아향
미분류,미분류,복숭아
미분류,미분류,복사나무열매
미분류,미분류,알로에베라(고시형)
미분류,미분류,서양자두
미분류,미분류,향료제제
미분류,미분류,카로틴
미분류,미분류,이소말토올리고당
미분류,미분류,말티톨시럽
미분류,미분류,엿기름
미분류,미분류,계피액
미분류,미분류,참당귀뿌리추출물
미분류,미분류,복령추출액
미분류,미분류,회향추출물
미분류,미분류,볶은감초
미분류,미분류,갈대추출액
미분류,미분류,유장분95
미분류,미분류,기타식초
미분류,미분류,유기농산탄검
미분류,미분류,마늘가루
미분류,미분류,정제염수
자몽,꿀벌 수분 연관,자몽종자추출물
미분류,미분류,청주
미분류,미분류,과실주
미분류,미분류,홍고추
미분류,미분류,염장새우
미분류,미분류,비프베이스분말
미분류,미분류,올레오레진캡시컴
미분류,미분류,스파이스믹스
미분류,미분류,옥수수가루
미분류,미분류,white)
미분류,미분류,제3인산칼슘
미분류,미분류,기타설탕
미분류,미분류,마늘분태
미분류,미분류,구운마늘향
미분류,미분류,간청양고추
미분류,미분류,간양파
미분류,미분류,카라멜색소iv
미분류,미분류,간무
미분류,미분류,호박산이나트륨
미분류,미분류,추출가공식품
미분류,미분류,간대파
미분류,미분류,산분해간장
미분류,미분류,잼류
미분류,미분류,일반증류주
포도,꿀벌 수분 연관,건포도
미분류,미분류,검정깨(흑임자)
미분류,미분류,젖산칼슘
미분류,미분류,d-소비톨
미분류,미분류,명태알
미분류,미분류,아질산나트륨
사과,꿀벌 수분 연관,dl-사과산나트륨
미분류,미분류,l-아스코브산나트륨
미분류,미분류,빙초산
미분류,미분류,흰점박이꽃무지유충
미분류,미분류,종초산균
미분류,미분류,민어
미분류,미분류,액상차
미분류,미분류,당시럽류
토마토,꿀벌 수분 연관,토마토케첩
미분류,미분류,카라멜색소iii
미분류,미분류,갈치살
미분류,미분류,잡어살
미분류,미분류,l-라이신염산염
미분류,미분류,대두갈치
미분류,미분류,인산나트륨
미분류,미분류,잡어
미분류,미분류,난백분
미분류,미분류,비타민b1라우릴황산염
미분류,미분류,농후발효유
미분류,미분류,올리브유
미분류,미분류,절임류
미분류,미분류,현미식초
미분류,미분류,멸치액젓
미분류,미분류,음나무어린잎
미분류,미분류,유자껍질
미분류,미분류,유자
미분류,미분류,고등어
미분류,미분류,건고구마줄기
미분류,미분류,깐마늘
미분류,미분류,멸치육수
미분류,미분류,쌀조청
미분류,미분류,도라지
미분류,미분류,메주
미분류,미분류,목전지
미분류,미분류,고추씨가루
미분류,미분류,감치미
미분류,미분류,핵산ig
미분류,미분류,멸치농축액
미분류,미분류,아미노mw1
미분류,미분류,수용성파프리카색소
미분류,미분류,새우젓
미분류,미분류,멸치젓
미분류,미분류,무채
미분류,미분류,멸치액
미분류,미분류,쌀증류식소주원액
미분류,미분류,혼합제제류
미분류,미분류,땅콩
미분류,미분류,오부라이트
미분류,미분류,청양고춧가루
미분류,미분류,핫스파이스분말
미분류,미분류,d-소르비톨혼합제제
미분류,미분류,멸치
미분류,미분류,깐양파
미분류,미분류,가리비
미분류,미분류,미나리
미분류,미분류,양파청
미분류,미분류,매실청
미분류,미분류,염장들깻잎
미분류,미분류,염장고추
미분류,미분류,혼합다대기
미분류,미분류,건다대기
미분류,미분류,믹스젤-g
미분류,미분류,고추양념
미분류,미분류,혼합조미료
미분류,미분류,건무
미분류,미분류,염장고추잎
미분류,미분류,습다대기
미분류,미분류,조미고추분
미분류,미분류,절임갓
미분류,미분류,호화쌀가루
미분류,미분류,염수
미분류,미분류,쪽파
미분류,미분류,풀
미분류,미분류,건고추
미분류,미분류,가당연유
미분류,미분류,카라기난
미분류,미분류,카복시메틸셀룰로스나트륨
미분류,미분류,밀분해추출물
미분류,미분류,약모밀추출분말
미분류,미분류,새삼씨앗
미분류,미분류,인동꽃봉오리
미분류,미분류,창질경이어린잎
미분류,미분류,산이질풀잎
미분류,미분류,쇠비름잎
미분류,미분류,감초뿌리
미분류,미분류,민들레
미분류,미분류,금잔화꽃
미분류,미분류,l-멘톨
미분류,미분류,꼭두서니잎
미분류,미분류,민트향
미분류,미분류,매실원액
미분류,미분류,명태
미분류,미분류,모시풀잎
미분류,미분류,천연첨가물
미분류,미분류,식염
미분류,미분류,쑥잎
카카오,꿀벌 수분 연관,준초콜릿
미분류,미분류,땅콩버터
미분류,미분류,합성팽창제
미분류,미분류,기타밀가루
미분류,미분류,탁주
미분류,미분류,초코플레이크
카카오,꿀벌 수분 연관,밀크초콜릿
미분류,미분류,고구마
미분류,미분류,볶은통깨
미분류,미분류,식용유지류
미분류,미분류,새송이버섯
미분류,미분류,소목심
무화과,꿀벌 수분 연관,건조무화과
아몬드,꿀벌 수분 연관,아몬드분말
미분류,미분류,크림발효유
미분류,미분류,느타리자실체
미분류,미분류,청경채잎
미분류,미분류,숙면
미분류,미분류,넙치
블루베리,꿀벌 수분 연관,블루베리파이필링
아몬드,꿀벌 수분 연관,아몬드슬라이스
미분류,미분류,기타소금
미분류,미분류,강력분
미분류,미분류,쥬키니호박
미분류,미분류,감자
미분류,미분류,중국당귀뿌리
미분류,미분류,감초건조
미분류,미분류,둥굴레뿌리
미분류,미분류,떡류
미분류,미분류,돼지피
미분류,미분류,돼지지방
미분류,미분류,돼지소창
미분류,미분류,돼지갈매기살
미분류,미분류,고형차
미분류,미분류,마스카포네치즈
미분류,미분류,계란
미분류,미분류,계란노른자
미분류,미분류,애프리코트혼당
미분류,미분류,당침통팥
미분류,미분류,녹차가루
미분류,미분류,녹차향
바닐라,꿀벌 수분 연관,바닐라에센스
미분류,미분류,그린콩꼬투리
미분류,미분류,농후크림발효유
미분류,미분류,슈가파우더
레몬,꿀벌 수분 연관,레몬
미분류,미분류,살균크림
미분류,미분류,피칸견과
미분류,미분류,돼지곱창
미분류,미분류,해바라기씨앗
미분류,미분류,금박
미분류,미분류,기타주류
미분류,미분류,기타식물성유지
카카오,꿀벌 수분 연관,코코아버터
미분류,미분류,냉동산딸기퓌레
미분류,미분류,주류
미분류,미분류,라즈베리퓌레
미분류,미분류,프리믹스
미분류,미분류,딸기레진
바닐라,꿀벌 수분 연관,바닐라향혼합제제
레몬,꿀벌 수분 연관,레몬제스트
미분류,미분류,브로콜리
미분류,미분류,파슬리플레이크
미분류,미분류,소업진살
미분류,미분류,삶은계란
미분류,미분류,어묵
미분류,미분류,만두
미분류,미분류,유산균
바닐라,꿀벌 수분 연관,바닐라향분말혼합제제
미분류,미분류,계란흰자
미분류,미분류,연육
미분류,미분류,밀전분
미분류,미분류,d-자일로오스
미분류,미분류,대두단백
미분류,미분류,트랜스글루타미나아제
미분류,미분류,조미식품
미분류,미분류,종반죽
미분류,미분류,블랙올리브
미분류,미분류,연유
미분류,미분류,로즈마리잎
미분류,미분류,고추
미분류,미분류,아르헨티나붉은새우
미분류,미분류,소살치살
미분류,미분류,생치즈
미분류,미분류,다진양파
미분류,미분류,밤다이스
미분류,미분류,대추액
미분류,미분류,소곱창
미분류,미분류,유탕면
미분류,미분류,연어살
미분류,미분류,과.채가공품류
미분류,미분류,곡물혼합분말
미분류,미분류,밀
미분류,미분류,버터오일
미분류,미분류,보검선인장가루
미분류,미분류,경성가공치즈
미분류,미분류,난백
아몬드,꿀벌 수분 연관,아몬드가루
미분류,미분류,파슬리분말
미분류,미분류,빵효모
미분류,미분류,혼합곡물
미분류,미분류,혼합식육추출가공품
미분류,미분류,참다랑어
미분류,미분류,카카오매스
카카오,꿀벌 수분 연관,다크초콜릿컴파운드칩
미분류,미분류,폴리글리시톨시럽
미분류,미분류,바나나향
헤이즐넛,꿀벌 수분 연관,통헤이즐넛
바닐라,꿀벌 수분 연관,바닐라빈
미분류,미분류,유크림
오렌지,꿀벌 수분 연관,오렌지
미분류,미분류,프로스터
미분류,미분류,베이킹파우더3호
미분류,미분류,천연착향료(vanilla)
미분류,미분류,피칸분태
미분류,미분류,알룰로오스
미분류,미분류,통밀가루
무화과,꿀벌 수분 연관,건조무화과다이스
미분류,미분류,밀리타리스동충하초분말
미분류,미분류,난황
커피,꿀벌 수분 연관,커피향
미분류,미분류,시금치
토마토,꿀벌 수분 연관,껍질깐토마토
토마토,꿀벌 수분 연관,으깬토마토
캐슈넛,꿀벌 수분 연관,캐슈견과
미분류,미분류,다진생강
미분류,미분류,쿠민분말
미분류,미분류,혼합향신료
미분류,미분류,냉동다진마늘
미분류,미분류,고수씨앗
미분류,미분류,통계피
미분류,미분류,쿠민씨앗
미분류,미분류,육두구씨앗
미분류,미분류,강황가루
미분류,미분류,검은콩
미분류,미분류,검은깨
미분류,미분류,팜유
미분류,미분류,땅콩분태
피스타치오,꿀벌 수분 연관,피스타치오견과
미분류,미분류,호박가루
미분류,미분류,피칸
아몬드,꿀벌 수분 연관,아몬드
