매핑된_작물,꿀벌 연관 여부,원재료
미분류,미분류,헤즐넛트후레바
미분류,미분류,condensedmilk
미분류,미분류,compound10354600
미분류,미분류,custardflavor60360102
미분류,미분류,compoundcs-tflavor10354600
미분류,미분류,custardflavor10355600
미분류,미분류,hazelnutflavor10902100
미분류,미분류,합성아이리쉬크림향
미분류,미분류,합성착향료(tetrahydrofurfurylacetate)
미분류,미분류,헤즐넛향smf
미분류,미분류,혼합헤즐넛베이스오일yw-2421
미분류,미분류,(methylthio)methylpyrazine
미분류,미분류,프로필렌글리콜글리콜
미분류,미분류,분말헤즐넛향
커피,꿀벌 수분 연관,이과수커피
커피,꿀벌 수분 연관,멕스웰화인커피
미분류,미분류,식물성포밍크림
미분류,미분류,헤즐넛골드향
미분류,미분류,헤즐넛향베이스mk-1573
미분류,미분류,방향족
미분류,미분류,헤즐넛향베이스hj-1179
미분류,미분류,헤즐넛향분말231877a
미분류,미분류,메틸푸르푸랄
미분류,미분류,헤즐넛향분말dh-1215/c
미분류,미분류,천연합성향
미분류,미분류,헤즐럿향
커피,꿀벌 수분 연관,볶은원두커피
미분류,미분류,천연헤즐럿향
미분류,미분류,헛개나무과병추출분말(기능성원료인정제2008-55호)
미분류,미분류,헛개나무과병추출분말(기능성원료인정제2016-10호)
미분류,미분류,선식분말
미분류,미분류,1분말
미분류,미분류,콩나물추출물
미분류,미분류,칡추출물
미분류,미분류,미나리추출물
미분류,미분류,푸에라리아
미분류,미분류,헤페퀵
미분류,미분류,동결건조누에분말(기능성원료인정제2009-67호)
미분류,미분류,육우차돌박이
미분류,미분류,인공멜론향
미분류,미분류,펙틴ym-150h
레몬,꿀벌 수분 연관,레몬믹스향
미분류,미분류,무분말c
미분류,미분류,양배추발효엑스u
미분류,미분류,콜라맛캔디
미분류,미분류,향료(콜라향)
블루베리,꿀벌 수분 연관,요구르트&블루베리맛
미분류,미분류,요구르트&복숭아맛
미분류,미분류,요구르트&딸기맛
미분류,미분류,유화제(레시틴)
미분류,미분류,식물성검
미분류,미분류,쿠키앤크림후레바
미분류,미분류,초콜렛후레바
미분류,미분류,함성착색료(이산화티타늄)
미분류,미분류,천연색소(황
미분류,미분류,화황색소
미분류,미분류,정향나무추출액
미분류,미분류,쇠무릅창출분말
미분류,미분류,발효인삼추출물분말
미분류,미분류,백리향
미분류,미분류,알파락트부민
미분류,미분류,알부민(기능성원료인정new제2007-23호)
미분류,미분류,아그리모니잎
레몬,꿀벌 수분 연관,필리핀레몬열매농축분말
미분류,미분류,홍차발효분말
미분류,미분류,석류추출액
미분류,미분류,녹용혼합추출농축액
포도,꿀벌 수분 연관,요구르트맛건포도
미분류,미분류,마테추출농축액분말
미분류,미분류,서양자두농축과즙
미분류,미분류,인삼추출농축분말
미분류,미분류,캐비어추출물
미분류,미분류,복합황금추출액
미분류,미분류,분말비타민a(고시형)
미분류,미분류,bifidobacteriumanimalisssplactis분말
미분류,미분류,민들레추출농축액분말
미분류,미분류,락색소(js-15997)
미분류,미분류,황금추출고형분
미분류,미분류,헬피자살사소스베이스
미분류,미분류,헴철
미분류,미분류,오죽죽순
미분류,미분류,가시오갈피액
미분류,미분류,건은참깨
미분류,미분류,마늘초
미분류,미분류,수용성난각칼슘
미분류,미분류,유기농현미흑초
미분류,미분류,건조홍삼
미분류,미분류,흑초란
미분류,미분류,현미와껍징
미분류,미분류,상수리
미분류,미분류,대두백태
미분류,미분류,대두씨앗
미분류,미분류,현미누룽지
미분류,미분류,말린과일
미분류,미분류,통밀새싹가루
미분류,미분류,복숭아엑기스
미분류,미분류,현미상황버섯균사체
미분류,미분류,볶은천일염
미분류,미분류,블랙빈향
미분류,미분류,곡물페이스트
미분류,미분류,맵현미
미분류,미분류,볶은호밀
미분류,미분류,쇼드닝
미분류,미분류,제인산칼슘
미분류,미분류,황국종균
미분류,미분류,현미보리떡용가루
미분류,미분류,우유버터
미분류,미분류,도라지착즙액
미분류,미분류,천연그린
미분류,미분류,현미녹차
미분류,미분류,녹차향베이스-b
미분류,미분류,콩향베이스-a
미분류,미분류,현미녹차향키베이스
미분류,미분류,termamyl
미분류,미분류,fungamyl800l
미분류,미분류,alcalase
미분류,미분류,celluclast1.5l
